"KO","name","definition"
"K06118","UDP-sulfoquinovose synthase [EC:3.13.1.1]",NA
"K06162","alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase [EC:3.6.1.63]",NA
"K06200","carbon starvation protein",NA
"K06639","cell division cycle 14 [EC:3.1.3.16 3.1.3.48]",NA
"K06878","tRNA-binding protein",NA
"K06998","trans-2,3-dihydro-3-hydroxyanthranilate isomerase [EC:5.3.3.17]",NA
"K07001","NTE family protein",NA
"K07058","membrane protein",NA
"K07069","uncharacterized protein",NA
"K07089","uncharacterized protein",NA
"K07104","catechol 2,3-dioxygenase [EC:1.13.11.2]",NA
"K07158","uncharacterized protein",NA
"K07228","K+:H+ antiporter subunit KhtT",NA
"K07249","retinal dehydrogenase [EC:1.2.1.36]",NA
"K07322","regulator of cell morphogenesis and NO signaling",NA
"K07378","neuroligin",NA
"K07402","xanthine dehydrogenase accessory factor",NA
"K07454","putative restriction endonuclease",NA
"K07559","putative RNA 2'-phosphotransferase [EC:2.7.1.-]",NA
"K08482","circadian clock protein KaiC",NA
"K08483","phosphoenolpyruvate-protein phosphotransferase (PTS system enzyme I) [EC:2.7.3.9]",NA
"K09119","KEOPS complex subunit Cgi121",NA
"K09714","HTH-type transcriptional regulator, fmd operon transcriptional regulator",NA
"K09732","uncharacterized protein",NA
"K09736","uncharacterized protein",NA
"K10227","polyol transport system substrate-binding protein",NA
"K10252","beta,beta-carotene 9',10'-dioxygenase [EC:1.13.11.71]",NA
"K11000","callose synthase [EC:2.4.1.-]",NA
"K11085","ATP-binding cassette, subfamily B, bacterial MsbA [EC:7.5.2.6]",NA
"K11959","urea transport system substrate-binding protein",NA
"K11960","urea transport system permease protein",NA
"K11961","urea transport system permease protein",NA
"K11962","urea transport system ATP-binding protein",NA
"K11963","urea transport system ATP-binding protein",NA
"K12369","dipeptide transport system permease protein",NA
"K13010","perosamine synthetase [EC:2.6.1.102]",NA
"K13110","pre-mRNA-splicing factor MFAP1/SPP381",NA
"K13641","IclR family transcriptional regulator, acetate operon repressor",NA
"K14259","2-dehydro-3-deoxy-D-arabinonate dehydratase [EC:4.2.1.141]",NA
"K14611","solute carrier family 23 (nucleobase transporter), member 1",NA
"K15171","transcription elongation factor SPT4",NA
"K15342","CRISP-associated protein Cas1",NA
"K15772","arabinogalactan oligomer / maltooligosaccharide transport system permease protein",NA
"K16785","energy-coupling factor transport system permease protein",NA
"K17285","methanethiol oxidase [EC:1.8.3.4]",NA
"K17316","glucose/mannose transport system permease protein",NA
"K17865","3-hydroxybutyryl-CoA dehydratase [EC:4.2.1.55]",NA
"K18382","NAD+-dependent secondary alcohol dehydrogenase Adh1 [EC:1.1.1.-]",NA
"K18663","activating signal cointegrator complex subunit 3 [EC:5.6.2.4]",NA
"K18929","L-lactate dehydrogenase complex protein LldF",NA
"K19281","beta-methylmalyl-CoA/(S)-malyl-CoA lyase [EC:4.1.3.24]",NA
"K19282","bifunctional (S)-malyl-CoA lyase/thioesterase [EC:4.1.3.24 3.1.2.30]",NA
"K19342","copper chaperone NosL",NA
"K21990","formate-nitrite transporter family protein",NA
"K22502","lycopene beta-cyclase [EC:5.5.1.19]",NA
"K22844","glucosyl-dolichyl phosphate glucuronosyltransferase [EC:2.4.1.356]",NA
"K23252","dolichol phosphate-mannose mannosyltransferase [EC:2.4.1.-]",NA
"K23398","activating signal cointegrator 1",NA
"K23518","O-acetyl-ADP-ribose deacetylase [EC:3.1.1.106]",NA
"K24998","dehydro coenzyme F420 reductase / coenzyme F420-0:L-glutamate ligase / coenzyme F420-1:gamma-L-glutamate ligase [EC:1.3.8.17 6.3.2.31 6.3.2.34]",NA
"K25316","amino-acid racemase [EC:5.1.1.10]",NA
"K26605","branched chain amino acid efflux pump",NA
"K26732","K+:H+ antiporter subunit KhtU",NA
"K27923","IclR family transcriptional regulator, msc operon activator",NA
